Comment,Designator,Footprint,LCSC Part Number
100nf,"C9,C11,C13",100nf_0402,C1525
1uf,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C12",1uf_0402,C14445
5.1k,"R1,R2,R3,R4",R0402,C2906874
SL2.1A,U1,SLA2.1S,C192893
USB A,"J2,J3,J4",USB-A-TH_10.0QHHTZB6.3,C668591
USB C,"J1,J5",SHOUHAN_TYPE-C_16PIN_2MD__073_,C2765186
